,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.8702812906450024,78.45052667996332,0.031317207826920754,54.34500000000001,59.599090909090926,0.8827150054724257,0.403746672905244,-71.87887268175538,0.03532892556945044,-39.43399999999999,-51.59201818181818,0.6424382256387247,3,3,1,7,2,2,1,0,0,0,1,0,2
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8821987706732752,74.76002972610168,0.035499073252662765,48.36700439453125,56.2303633256392,0.8915703325753646,0.2666141136526666,-73.0888258392469,0.0372934010517933,-39.946607971191405,-49.6793112598766,0.34283917045485024,0,0,2,4,0,0,4,1,1,1,0,3,10
"KNeighborsRegressor(p=1, weights='distance')",0.8733657762456931,77.51220658396366,0.02885133835346114,64.0201517087223,60.08993115176574,0.8874562506325441,0.3367810171517499,-78.11414374424993,0.048325946088866874,-50.468888748804225,-57.942863518603545,0.4433973931361188,2,2,0,11,3,1,2,6,3,8,5,1,25
GradientBoostingRegressor(),0.8494476790930511,84.5158729486697,0.05716998938664461,60.82983184745791,64.78432278805802,0.8602589519579031,0.056244731072204325,-77.24671494145458,0.047101072675007766,-46.544292856609,-57.06881709847306,0.2122528005194082,5,5,8,9,6,5,6,4,2,5,3,7,27
<catboost.core.CatBoostRegressor object at 0x000001D655B4F9A0>,0.8745692311209139,77.14301283654974,0.05219706128311026,43.32153021380478,59.41516725969109,0.8780801474791959,-0.39976684738719015,-76.00044302801503,0.05514817621774194,-43.8586187918445,-55.30315428377803,0.2123463945988248,1,1,7,2,1,3,10,2,5,3,2,6,28
AdaBoostRegressor(),0.8432133160033581,86.24802155714158,0.046807158656949406,60.8780487804878,66.70257750863917,0.8570724447535164,-0.19840958009055076,-77.38863116371806,0.05504895824936141,-46.131459178825104,-58.610602502943905,0.3086152990009065,6,6,3,10,7,6,9,5,4,4,8,4,34
"RandomForestRegressor(max_depth=22, n_estimators=650)",0.8206271694953012,92.25138280990097,0.04886883301872791,58.769230769230774,67.4904895104895,0.8318004276148561,-0.0874510401020168,-83.90232329679105,0.059245517759687616,-47.59369230769231,-58.562987412587425,0.38565368875179373,8,8,5,8,8,9,7,8,8,7,7,2,39
"SVR(C=1.6, cache_size=4000, epsilon=0.01, gamma=4, kernel='poly')",0.858034381736997,82.07032309521676,0.05155815940114392,48.67151948375505,62.527810134438255,0.8755672938701751,-0.4074332329410775,-76.83190844217332,0.09093666888392894,-42.7251473911125,-57.47348628840315,-0.13366112914117564,4,4,6,5,4,4,11,3,14,2,4,12,46
LGBMRegressor(),0.8004071213705627,97.31215159194163,0.07194380545884,53.26712173155775,77.65990983576306,0.8112170199070701,-0.1498611020050471,-82.0529350310219,0.05898253560515651,-52.71233567539398,-62.826467927298744,0.07040367789379129,10,10,10,6,11,11,8,7,7,9,9,8,48
BaggingRegressor(),0.7900840423303106,99.7969529503873,0.05888101337475522,44.650000000000034,72.33636363636364,0.8025671369923212,0.17111167783391507,-85.57306197842658,0.061554260113517355,-47.57,-65.51827272727272,0.0027546782162299333,12,12,9,3,9,13,5,9,9,6,11,9,49
DecisionTreeRegressor(),0.7492926650945646,109.06315934940051,0.08648326185808325,41.5,76.5909090909091,0.751158641814209,0.4197836255810511,-88.75805725269525,0.057247877346551485,-54.5,-63.9,-0.03340754856871257,14,14,12,1,10,14,0,13,6,10,10,11,50
"MLPRegressor(hidden_layer_sizes=(70, 7), max_iter=60, solver='lbfgs')",0.8297436685497742,89.8765078874179,0.04837006208149452,38.40221807425718,62.83007324503342,0.8538956509049106,0.2960750703729352,-99.54392721775132,0.06831827967239973,-57.65431377678916,-58.439978076547376,0.24240985201859924,7,7,4,0,5,7,3,14,10,12,6,5,50
Ridge(),0.7792858189396876,102.33157842480989,0.08011286343630472,64.61377803773935,84.1705561430901,0.8103807837304451,-0.6420377527085571,-86.98514487798683,0.07904215785167813,-54.88950006718983,-67.09678510488804,-0.020111354477547583,13,13,11,12,14,12,13,10,12,11,12,10,68
"Lasso(alpha=0.1, max_iter=4000)",0.8004610426152887,97.29900596566718,0.09381853324053067,68.12694630298755,78.62609361260182,0.8304252776853314,-0.5936618758825052,-87.17954714469626,0.07681194001039424,-60.57854204054297,-67.68502448340908,-0.3753147771522899,9,9,13,13,13,10,12,11,11,13,13,13,73
LinearRegression(positive=True),0.8001990663954056,97.36285731853238,0.09766215460309838,69.04329600886626,78.39455745358629,0.8319966187494943,-0.6640932812058297,-87.91038288472377,0.07915990282172547,-61.52217593775815,-68.58683636188982,-0.4471765576819024,11,11,14,14,12,8,14,12,13,14,14,14,81
