,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000001D65599A0D0>,0.8585206845871053,67.95973216805237,0.048125648862026804,27.04417489471558,49.09012524872827,0.8668630318240607,0.6703432162711287,-63.736828467234076,0.03537386883108848,-34.33255882567827,-45.31323126562397,0.7111481146572894,0,0,2,1,2,0,1,0,1,0,0,1,3
ExtraTreesRegressor(),0.8563869209184989,68.47029209810631,0.04810223512261776,26.995000000000005,46.95416666666665,0.8653382082998751,0.693368684285188,-70.25854060615022,0.03360429843910629,-34.739,-48.29958333333333,0.7516734399922044,2,2,1,0,0,1,0,1,0,1,1,0,3
GradientBoostingRegressor(),0.8443168801676745,71.28956206636609,0.049879195229397266,33.94930720781382,55.0436197233787,0.8500963977148666,0.5476293452927014,-71.41331582762243,0.043906306548007944,-37.882223927188576,-50.90703129529509,0.5874833628490719,4,4,3,3,6,4,8,2,3,2,2,10,27
"KNeighborsRegressor(p=1, weights='distance')",0.8279646806714884,74.94005245465229,0.07267591876143341,41.29824134570717,53.1348927367286,0.8456595675998596,0.5997201086088457,-72.2118842657429,0.040915284530686456,-44.296603781012834,-54.34167273293963,0.6554955394109833,5,5,9,8,3,5,3,3,2,8,7,5,28
"RandomForestRegressor(max_depth=22, n_estimators=200)",0.8131842337974925,78.092971161249,0.04990572179609672,40.28750000000001,54.29770833333333,0.8259572142101308,0.5672942284863758,-79.42367266491354,0.04907076392642038,-40.843749999999986,-53.20804924242424,0.6872222960679085,7,7,4,7,5,7,6,7,5,3,4,4,29
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.856954962757517,68.33474550617287,0.03740023922989706,28.143386840820312,48.282301902770996,0.8642072147864227,0.583072131206197,-73.54416856915616,0.044454527157438965,-42.89241943359375,-53.360095064567794,0.6512208844189817,1,1,0,2,1,2,4,4,4,7,5,7,31
LGBMRegressor(),0.7414358940949592,91.87329692928932,0.09270408887498786,50.83263162774233,70.0571595906113,0.7526749031815254,0.604295359549012,-73.79546994244019,0.050430388877381105,-42.366141747413835,-53.875212195528434,0.6536003402014784,10,10,10,10,10,10,2,5,8,6,6,6,33
AdaBoostRegressor(),0.8149450751589651,77.72406521220975,0.05130254680743207,35.861111111111114,55.54966473909869,0.8338424556600651,0.5760693172214862,-80.097059367473,0.0497604300726715,-42.17672470073785,-56.54205202782864,0.7032674617672636,6,6,5,5,7,6,5,8,6,5,8,2,34
BaggingRegressor(),0.7872415886468971,83.33905147048411,0.05256398353161252,33.99999999999997,58.05833333333333,0.7968747844454737,0.5623295869481231,-82.74312921214778,0.05982850947322855,-40.845,-53.17787878787878,0.6919805066382924,8,8,6,4,8,8,7,10,9,4,3,3,36
"SVR(cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.711161421265978,97.1030303611621,0.15840628661210387,64.02448267638366,73.90733483018009,0.7402553173258088,0.49386866409545355,-78.25046124702226,0.09863430321936859,-48.75295370549675,-58.635068667989074,0.5774824165772984,12,12,13,12,11,11,10,6,14,10,9,11,60
"Lasso(alpha=0.8, max_iter=3000)",0.7096902383524715,97.35001065358334,0.14558213261447125,61.28198065692847,80.28671618505741,0.7350893856046897,0.5223612481647949,-84.45968011417332,0.06814338859948363,-53.60721056623951,-65.5066322866416,0.613026457042946,13,13,11,11,12,12,9,12,10,11,13,9,64
"MLPRegressor(alpha=0.01, hidden_layer_sizes=(50, 5), max_iter=60,
             solver='lbfgs')",0.8534323672671802,69.1710264750493,0.06263489172632913,45.55147087790925,54.05187103053186,0.8614217318241644,0.44162814481214063,-80.76829879635581,0.04993767834726289,-58.298813744807966,-59.41337536718064,0.45887384624108707,3,3,8,9,4,3,13,9,7,14,10,14,67
DecisionTreeRegressor(),0.7624984663553056,88.05183132678161,0.05772883184392011,38.5,62.791666666666664,0.7843500646457497,0.11473475556380008,-84.03495394684575,0.0689499559673371,-44.65,-61.337878787878786,0.5478155583691073,9,9,7,6,9,9,14,11,11,9,11,12,68
Ridge(),0.6717629995596706,103.5139667325762,0.16570882680203888,75.7820308051601,82.08242564688261,0.7080393049065619,0.4919186395232761,-84.62339213993002,0.07167933207768482,-54.22856561663046,-64.78401562424638,0.634657253560867,14,14,14,14,14,14,11,13,12,12,12,8,68
LinearRegression(),0.7144974509290376,96.54064117307927,0.1534979643464787,72.17402981431496,80.77992408417549,0.7319118125911184,0.46100496950299397,-85.47223240982258,0.07727524700243694,-56.265765467653765,-67.2845088726499,0.5443278845516863,11,11,12,13,13,13,12,14,13,13,14,13,79
