,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.8927683457439035,61.829272323067165,0.026446083588483514,24.629999999999995,41.9908,0.9034313413109971,0.5583224907009094,-70.13465998184657,0.03468904272942394,-42.3695,-50.13579487179488,0.7153895338558645,1,1,2,3,2,1,0,0,0,2,0,0,2
<catboost.core.CatBoostRegressor object at 0x0000023EF7052FA0>,0.8838591792234529,64.34652199867523,0.04037271166324812,25.92688231869272,44.33737064246459,0.8857872140595889,0.5014585787603607,-70.21356687687214,0.04019250936815191,-42.229779917305706,-53.087322444967675,0.704609987799085,3,3,5,4,3,4,3,1,1,1,1,1,8
GradientBoostingRegressor(),0.8548893770923072,71.92539166870253,0.040382247661728335,30.650463982162364,51.12899702391018,0.8563161001950743,0.4020872346964136,-77.15483034948143,0.04756350056929279,-43.79594712945655,-55.70618453839502,0.5226629131485931,8,8,6,6,5,8,7,3,3,3,2,10,28
"KNeighborsRegressor(n_neighbors=4, p=1, weights='distance')",0.9425909439472353,45.24002490606111,0.025219832380867047,22.39243996466587,33.98398341013091,0.947570368785798,0.5017982819365822,-79.32329278793951,0.0494591985235142,-47.48667305944421,-58.6379261041021,0.6956626426012534,0,0,1,1,0,0,2,7,5,5,7,2,28
"SVR(C=1.6, cache_size=3000, epsilon=0.01, gamma=4, kernel='poly')",0.8566184980487906,71.49558022157127,0.06633252388818886,33.66753076915734,54.55560549072367,0.8684487857476145,0.5066084589199857,-76.66520655018866,0.07697652909496278,-50.24199447974599,-59.02040520197427,0.6923324406037714,7,7,11,8,9,5,1,2,14,9,8,3,37
"MLPRegressor(alpha=0.001, hidden_layer_sizes=(60, 7), max_iter=60,
             solver='lbfgs')",0.8727914364303954,67.34274370832175,0.042514648393481964,38.95860196431261,53.94442736378385,0.8859866740801747,0.4633801680919204,-78.47732105756953,0.06845416626146993,-46.95388463261063,-64.80092877846043,0.6767127814972133,4,4,8,10,8,3,4,6,11,4,11,4,40
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8568455661752477,71.43894530085178,0.03983337956831906,23.247772216796875,44.881953735351566,0.8681194349796721,0.4007710520535479,-79.85906372216128,0.04151376467420175,-50.44882354736328,-56.779960940434385,0.5608201069457035,6,6,4,2,4,6,8,9,2,10,4,8,41
LGBMRegressor(),0.7941479668669008,85.66634002915832,0.05553613228976565,49.578404883691576,64.49163739281876,0.7997197610258941,0.3743339001462958,-77.60633400435061,0.05552913226277282,-48.42475811201571,-56.10038153793405,0.49324914698645284,12,12,9,13,12,13,9,5,6,7,3,13,43
"RandomForestRegressor(max_depth=22, n_estimators=50)",0.8231372529659524,79.4055421743344,0.033758031552322126,32.39999999999998,52.193599999999996,0.8336159810110108,0.3239922375729254,-79.52221378251359,0.04891281445365033,-49.57000000000001,-57.19788461538461,0.5531791179406575,9,9,3,7,6,9,11,8,4,8,5,9,45
AdaBoostRegressor(),0.8570233246769257,71.39457774576213,0.04096827944923608,40.21052631578948,52.788225220683906,0.8596215348844757,0.2360932184707118,-77.554265064055,0.0568128054106569,-47.69967980123031,-59.959032484597586,0.5184019762492857,5,5,7,11,7,7,14,4,8,6,9,12,53
DecisionTreeRegressor(),0.8888362494089279,62.952680641891654,0.022677898739478678,21.0,40.48,0.8893992265527021,0.26641714221343554,-97.83425282405456,0.05641775151428295,-37.8,-60.54230769230769,0.5223308563948964,2,2,0,0,1,2,12,14,7,0,10,11,54
"Lasso(alpha=0.5, max_iter=7000)",0.8045810802370744,83.46721760432746,0.08885682348323158,47.167676059037376,66.33182308329965,0.8167174154378963,0.4139963211320056,-86.9647300747751,0.06743190221103788,-60.400357511339315,-68.24004839366108,0.6381361054697821,11,11,12,12,13,11,6,10,10,14,12,6,58
LinearRegression(positive=True),0.8052161705846972,83.33147751581572,0.09667255490275169,52.32310460793951,67.57875119299842,0.8197936670387427,0.4277631034888345,-87.07853569429294,0.06986335159766204,-57.29801476423811,-68.79566671201215,0.6244448636651228,10,10,14,14,14,10,5,11,12,12,13,7,60
BaggingRegressor(),0.7543722508637642,93.57748019689353,0.05775271540992272,27.30000000000001,55.071999999999996,0.7673528970882808,0.2606847459728418,-93.22384520122823,0.061844512117776175,-50.86499999999999,-58.17794871794872,0.4253278898199655,14,14,10,5,10,14,13,13,9,11,6,14,66
Ridge(),0.7928553077946284,85.93489231962015,0.09253781680300235,37.15613229600558,63.9784250997434,0.8008020564718602,0.3511769393060324,-88.0639079282239,0.07652364745755469,-58.38067370380649,-69.5907299783487,0.657102264621068,13,13,13,9,11,12,10,12,13,13,14,5,67
