,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.8728763649473059,69.42975454371131,0.03238171440378456,23.30000000000001,46.577600000000004,0.8858986049343168,0.5844898942465646,-68.21984834727824,0.031073657850737384,-37.451499999999996,-49.85109615384615,0.7107263972045843,2,2,2,0,2,2,0,1,0,0,0,1,2
<catboost.core.CatBoostRegressor object at 0x0000023EF6C3D130>,0.885829517622109,65.7975005602767,0.03230043139662884,23.3106376537051,42.97890729476278,0.8916121170777721,0.5240008327012949,-66.54677843676754,0.037180202245498374,-44.48629582713674,-51.55086793489452,0.708494957894846,1,1,1,1,1,1,3,0,1,2,1,2,9
GradientBoostingRegressor(),0.8323039223734525,79.74324983265623,0.040988501346818064,29.942408788549756,55.67155277743274,0.8433059440209206,0.5060582583636908,-73.05338450831957,0.04235331479745126,-51.82369033993651,-56.139285926203115,0.630275789148387,6,6,7,4,7,6,4,2,3,10,5,8,32
"SVR(C=1.6, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.8638926214096165,71.84115621379632,0.0638312471922333,35.10785006632659,54.724364939497065,0.8769850384692001,0.5254749984480671,-74.36014914619865,0.07903404670263281,-48.31245087947919,-57.534372816339854,0.6959278980333343,4,4,10,6,5,3,1,3,13,6,9,3,35
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(40, 7), max_iter=40, solver='lbfgs')",0.8372332408033429,78.56250753510434,0.06660728713371665,41.99767139591165,58.38889831956816,0.8423778763282975,0.5251093378161201,-78.57882187179493,0.09952833783929282,-46.309852968727256,-57.50973844945154,0.7284409288282041,5,5,11,12,8,7,2,8,14,3,8,0,35
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8699929532734607,70.21274056605264,0.03375466795203841,36.789825439453125,47.60357666015625,0.875614949791537,0.4135471536372976,-77.4858832736936,0.03841060504187606,-46.3476448059082,-56.90871453407483,0.5788334159272382,3,3,3,9,3,4,10,6,2,4,6,10,38
"RandomForestRegressor(max_depth=14, n_estimators=500)",0.8024106977919154,86.55939099508498,0.040846609051435986,32.40799999999999,54.70968,0.8195793309122738,0.41166817036528763,-78.24748314267909,0.047545347278634284,-47.1803,-55.674617341269844,0.5716511123023353,13,13,6,5,4,12,11,7,4,5,2,11,40
AdaBoostRegressor(),0.8105694481952791,84.75347046629162,0.05534503321038141,35.434782608695656,59.265961214027705,0.8224070168670399,0.43846913068900956,-75.63981592946179,0.05045439332973135,-48.87880589572404,-57.907459130542314,0.6070262582708248,10,10,9,7,10,11,6,4,5,8,10,9,42
LGBMRegressor(),0.8131919518277297,84.16475622493722,0.050113809579685524,40.05249889550572,61.066702223038085,0.8177614990669537,0.4198416408746943,-76.50523380565392,0.050489783162869006,-48.754205689750535,-56.034480296940934,0.5029374691072214,9,9,8,11,11,13,8,5,6,7,4,13,43
"KNeighborsRegressor(p=1, weights='distance')",0.9397373663722213,47.80315184008299,0.026328351236885438,29.407203519997893,35.214044630856044,0.9450218841315605,0.45669452063231564,-82.22934322984604,0.055298105088073576,-50.17204505780619,-62.85778156353963,0.6518391102526032,0,0,0,3,0,0,5,9,7,9,11,5,46
BaggingRegressor(),0.8219368876112794,82.1711676928106,0.035901127316085704,29.299999999999955,55.40800000000001,0.8433150805896552,0.3504075235182727,-84.295866499932,0.05564504246449207,-52.330000000000005,-55.85096153846153,0.5292031321015416,8,8,5,2,6,5,13,10,8,11,3,12,57
DecisionTreeRegressor(),0.8233024256390851,81.85548240649493,0.03482733629938338,36.0,59.2,0.837398906388134,0.059977273207860414,-89.37838750976745,0.06595107876555897,-42.95,-57.343589743589746,0.3195637178902694,7,7,4,8,9,8,14,14,9,1,7,14,59
Lasso(alpha=0.4),0.8099128406392753,84.90023039602993,0.09103919778378936,50.28927480490415,67.57788372281821,0.8251078085887127,0.41638223699483773,-85.32719831479032,0.06616453745113872,-55.260734193866085,-66.47253527969062,0.647991187755982,12,12,12,13,13,10,9,11,10,13,12,6,61
LinearRegression(positive=True),0.8105380420160627,84.76049592322163,0.09812378141619782,56.458043486606584,68.4244001041877,0.8278636713539288,0.4221488458184798,-85.79746024655043,0.06894864596024479,-52.48878566942155,-67.24835361115672,0.6362466598675875,11,11,14,14,14,9,7,12,11,12,13,7,62
Ridge(),0.7967696443961576,87.7863044755901,0.0919701011488093,38.472812265846926,66.09114387265528,0.8082032164537127,0.36256858478264725,-86.19676351950211,0.07391575015765622,-56.74243255320927,-67.49159807555392,0.6664289759023219,14,14,13,10,12,14,12,13,12,14,14,4,69
