,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=500, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.7796456609213941,2.5118349539864226,0.017130746901442798,0.6988029479980469,1.6009490528512509,0.7920054329472321,0.7017077899374933,-2.8012356945659906,0.02136495335873946,-1.2431086769104005,-1.9396390613196552,0.7104426165758666,0,0,0,0,0,0,0,0,1,0,1,1,3
<catboost.core.CatBoostRegressor object at 0x0000020A04B82B80>,0.7716789610055055,2.556838294921502,0.018323215886503035,1.1089994363327236,1.7041979900417523,0.7751337531473433,0.7011395649593974,-2.8204612761471015,0.02181968952335446,-1.2931790706100386,-1.937549025421815,0.7143337878737523,1,1,2,1,1,1,1,1,2,1,0,0,5
GradientBoostingRegressor(),0.753633206479985,2.6559590936294892,0.018317476266427917,1.516612536765514,1.9507556319539643,0.7551659937563738,0.679802321654548,-2.8523981241188534,0.021245654759406363,-1.620146347398442,-2.1324293473811324,0.6900681373174351,2,2,1,6,2,2,2,2,0,3,2,2,11
ExtraTreesRegressor(),0.6944170549015862,2.957977405722695,0.023754915831781378,1.2292000000000076,2.003051063829785,0.7060601209435944,0.652432055383444,-3.057447942348668,0.02512040317798058,-1.510935000000008,-2.177227735507246,0.6548345291583637,4,4,4,3,3,5,3,4,4,2,3,5,21
"RandomForestRegressor(max_depth=10, n_estimators=200)",0.6957370166619024,2.9515820185991974,0.022306889885582295,1.2009691156065898,2.0941459191946086,0.7294581067518326,0.6493086831923436,-3.0448096544633887,0.024058392276499353,-1.6555381486165863,-2.2651858041631447,0.6582867608277317,3,3,3,2,4,3,4,3,3,4,4,4,22
BaggingRegressor(),0.668074104078406,3.0828391411510214,0.024535860099110365,1.490000000000002,2.1476808510638303,0.7234222134383685,0.6285295088441415,-3.0621967115029713,0.02781553356375072,-1.695799999999999,-2.3084516304347824,0.6744425365758594,5,5,5,5,5,4,5,5,5,5,5,3,28
"SVR(C=0.4, cache_size=3000, epsilon=0.01, gamma=2, kernel='poly')",0.6258821041857652,3.2729135777954053,0.03299614134324436,1.446213209491681,2.2792510945405593,0.6647171089587657,0.5736908030195909,-3.3450880582974993,0.0298601462972713,-1.7708265034685593,-2.3552609341292956,0.5964158026114683,8,8,9,4,6,6,6,6,7,6,6,6,37
LGBMRegressor(),0.6294171726291113,3.2574138717907952,0.026070967339829193,2.122804710389854,2.5535067602529984,0.6379253687662654,0.5664039054046868,-3.393520810879988,0.028387285198838312,-1.8332901858479402,-2.512467321815602,0.5768223738605636,7,7,6,8,8,8,7,7,6,7,7,7,41
AdaBoostRegressor(),0.5406208813574516,3.6267358172370856,0.0320388921253513,2.4010526315789456,2.8102834594911763,0.5418643245323058,0.506461018490186,-3.681969601957034,0.0347033771720868,-2.6088339744028324,-2.9003164525456007,0.5044879673748925,9,9,8,11,9,9,8,8,8,11,9,8,52
"MLPRegressor(hidden_layer_sizes=(70, 8), max_iter=60, solver='lbfgs')",0.6339232501643386,3.23754914619444,0.029469271365748798,2.114402437037878,2.490884760141966,0.6556332064473206,0.4433309208849921,-4.25840177321769,0.040963708429807295,-2.0533966436219955,-2.740525166985309,0.49031899227747155,6,6,7,7,7,7,9,11,11,8,8,9,56
DecisionTreeRegressor(),0.2684322044603842,4.576754168994032,0.0550474231461266,2.2699999999999996,3.3372340425531912,0.31064271593900006,0.38470540098441824,-4.020382176386083,0.03902982772301757,-2.089999999999999,-3.0048586956521737,0.44049076486068445,11,11,13,9,11,11,11,10,9,9,10,10,59
"KNeighborsRegressor(n_neighbors=9, p=1, weights='distance')",0.41456420426962415,4.094208286247916,0.04487807471414756,2.2897137921152684,3.1274580840938158,0.41491946941235736,0.400420113640369,-4.0117648707140745,0.04065204461805861,-2.462019831885796,-3.120417474752215,0.41160132237962943,10,10,10,10,10,10,10,9,10,10,11,11,61
Ridge(),0.2628900368261874,4.594057609745015,0.049937954451378226,3.2962322516624454,3.6820201599420153,0.2646068540490628,0.20777344429103395,-4.6407954473007775,0.0535625151220848,-3.1071639758965275,-3.661575408705177,0.22286485052118246,12,12,11,12,12,12,12,12,12,12,12,12,72
LinearRegression(),0.20176790923389876,4.780737387879883,0.05400821546317136,3.303445937282497,3.7763987773559577,0.20339830571012985,0.17765337633794026,-4.715123361084913,0.05504934867731563,-3.1386729851941926,-3.696801506327116,0.1979739707561841,13,13,12,13,13,13,13,13,13,13,13,13,78
Lasso(),-1.0061326599419829e-05,5.350969567831058,0.06281135073083273,3.5830270270270255,4.018877515813685,0.0,-0.018050002542408496,-5.304933352844234,0.0667656354209414,-3.867942583732057,-4.328839749423918,3.3306690738754695e-17,14,14,14,14,14,14,14,14,14,14,14,14,84
