,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x0000023A77F1E610>,0.9124963757869256,56.378938356301035,0.03257444254967145,30.28864612881921,44.05565878083945,0.9142259985293807,0.41681835966549025,-80.5165402887822,0.05388049198183249,-43.015203958378365,-59.837092794846306,0.6351759455743211,1,1,2,4,3,1,5,2,0,1,2,5,15
ExtraTreesRegressor(),0.8984088592040359,60.74797306906626,0.02690696036366933,23.939999999999998,39.970400000000005,0.9038856495787649,0.4196137406112531,-84.4876735756048,0.06294887711296279,-42.64,-58.35978846153846,0.6507850005266314,3,3,1,0,0,3,4,6,5,0,0,3,18
"SVR(C=1.6, cache_size=3000, epsilon=0.09, gamma=4, kernel='poly')",0.9126053220102637,56.34383017928391,0.03469695179042062,40.338067024735665,44.678257147302354,0.9151117136998793,0.4489199805280257,-76.68461670373635,0.10017391095343094,-47.130913159394666,-59.107653320517684,0.6372334783019006,0,0,4,11,4,0,1,0,14,3,1,4,23
"Lasso(alpha=0.8, max_iter=3000)",0.8740625816081554,67.63652186185553,0.04418385405606621,33.412210268199374,51.84784404443155,0.8785446536374275,0.42180980199879353,-84.19138250469467,0.05880682669107924,-51.310251677725375,-66.63790914580599,0.6520994472488757,6,6,9,5,10,6,3,4,3,7,10,2,29
LinearRegression(positive=True),0.873099702844328,67.89459353786985,0.048365605206232586,43.54948949440586,53.08065632299946,0.8784656297250537,0.43820968713423997,-84.22223661676624,0.05867987866693121,-51.976876993410336,-67.09917397313112,0.6296220828836663,7,7,10,13,11,7,2,5,2,9,11,6,35
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9050928632457639,58.71557372712214,0.024387851019387986,25.99859619140625,43.69572082519531,0.9084609173088959,0.35926654900228466,-88.98282603026189,0.05858171460100647,-46.51771240234375,-63.76375745137533,0.5405155526288776,2,2,0,1,2,2,6,11,1,2,7,9,36
"MLPRegressor(alpha=0.1, hidden_layer_sizes=(50, 9), max_iter=60, solver='lbfgs')",0.8970108088230885,61.16453760457659,0.03355426496809069,36.897763578838294,48.62411249852149,0.899639349221966,0.5914110127193852,-77.12672587683223,0.07529837853364822,-54.02277883896973,-71.98105813944903,0.692925903526721,4,4,3,10,7,4,0,1,10,13,14,0,38
GradientBoostingRegressor(),0.8514983729138739,73.44622507516979,0.05326386136946984,34.776002794586816,50.410764722732836,0.8539515012484749,0.34009379604443457,-85.70989527445595,0.06067131889670129,-51.95351349591577,-62.65219212137066,0.5379586620390084,12,12,13,7,8,12,9,7,4,8,3,10,41
"RandomForestRegressor(max_depth=22, n_estimators=650)",0.8541905821931673,72.77742093249663,0.03805781896693729,34.54307692307691,48.34393846153847,0.8581873273915093,0.3189963714407977,-86.49004483638758,0.06427528096142542,-51.20038461538461,-62.793204142011845,0.600323284110077,11,11,6,6,6,11,10,8,6,6,4,7,41
LGBMRegressor(),0.810125276159579,83.04958196917217,0.04984756083918731,26.381703157208307,50.513359824517636,0.8227104662256335,0.3495967636678661,-87.91570357698355,0.06861566187533927,-50.2522136331525,-63.1464866192571,0.5115238865058485,13,13,12,2,9,13,7,9,8,5,5,12,46
Ridge(),0.8607067030548368,71.13264897374897,0.04891183538631744,40.947567992831296,54.769584352342015,0.8663332533512992,0.347169917469471,-84.16752699723708,0.06949927712252549,-56.51770770997001,-68.39892883298279,0.6697141922090603,9,9,11,12,12,10,8,3,9,14,12,1,47
AdaBoostRegressor(),0.8547049533827111,72.64893924052366,0.04123462852536346,44.388888888888914,57.575140807607006,0.8711751705303733,0.28408955893130744,-88.19530646680859,0.0669384919270074,-53.24652870788047,-65.64230260160693,0.5944607453980453,10,10,8,14,13,9,11,10,7,11,9,8,56
DecisionTreeRegressor(),0.7596851391581358,93.43168627398309,0.07223042114360179,35.0,60.92,0.7638364856886481,-0.0030840390649059636,-108.1653144793203,0.09608397310138721,-48.25,-65.47435897435898,0.36999072679582623,14,14,14,8,14,14,14,14,13,4,8,14,67
BaggingRegressor(),0.8720852943606805,68.16541938549194,0.037658671958039916,28.599999999999994,46.37200000000001,0.876949063120341,0.2467185810160296,-89.62167810244034,0.07649116922545011,-53.339999999999996,-63.730256410256416,0.501583870195497,8,8,5,3,5,8,13,12,11,12,6,13,67
"KNeighborsRegressor(n_neighbors=3, weights='distance')",0.8947954147686519,61.81889066347808,0.03929763042489521,36.656309665943525,42.63787394158493,0.8958194107147787,0.2794228869918881,-100.66944550619016,0.09223158330718313,-52.6811643536,-71.6891735214015,0.517407364019067,5,5,7,9,1,5,12,13,12,10,13,11,71
