,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000001BB6555FDF0>,0.822759986517811,78.14536410764613,0.03175533556507795,36.860012164615114,51.911292526721255,0.8301857211836776,0.6270917473611041,-69.69896951244587,0.03709246784264206,-40.60816832020009,-52.69698031416882,0.7056148920491017,2,2,1,3,1,3,0,0,0,0,0,3,3
ExtraTreesRegressor(),0.7458141919165056,93.5832193726426,0.05558114804341304,34.65999999999997,63.2674074074074,0.759101363492891,0.614514781347277,-71.04749554092223,0.037893298823060625,-47.388999999999996,-54.5198021978022,0.7278558705544749,7,7,4,2,4,8,3,1,1,2,1,1,9
"RandomForestRegressor(max_depth=14, n_estimators=650)",0.7243252753412213,97.45874321083778,0.06483668493574263,50.104615384615386,67.33933170533172,0.7412611157997513,0.6166549209759243,-73.74589090493109,0.04154050275029269,-49.7990709653092,-58.09136091185981,0.7098516709805492,9,9,7,9,6,9,2,2,2,4,5,2,17
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=200, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8661009922196194,67.9220853610112,0.02379635017846514,25.782363891601562,46.88910025137442,0.8709482459141794,0.5888774588210446,-76.59513339501783,0.04550102701732384,-42.478842163085936,-56.37320144150283,0.6752260056166735,0,0,0,0,0,0,4,3,4,1,2,5,19
BaggingRegressor(),0.665231640749292,107.39758946187862,0.08345559755281619,57.39999999999998,74.05925925925926,0.681836067602289,0.6231181846794656,-82.9095778809397,0.058040112238056205,-51.674999999999976,-56.637307692307694,0.6697914322592778,13,13,11,13,11,13,1,6,6,6,3,6,28
GradientBoostingRegressor(),0.7773960770822822,87.57673271598989,0.04187006809644516,43.70306303674681,66.44520910047741,0.7883895614556506,0.5459486919916816,-76.66441775524427,0.045955035452013564,-50.682554593318855,-56.95289970545288,0.6284995978353832,5,5,2,5,5,5,6,4,5,5,4,11,35
AdaBoostRegressor(),0.6935785825839971,102.75001416879742,0.07908840353828749,52.823529411764696,73.30878537145722,0.716752803008569,0.5552326205414428,-78.73757756825079,0.0446125602511645,-56.704262187071855,-64.57152523657003,0.6365384256269475,11,11,10,11,8,11,5,5,3,8,6,10,37
"KNeighborsRegressor(p=1, weights='distance')",0.8262801088135616,77.36545894400031,0.047406066800639204,30.325553233804413,57.57512126348589,0.8311412562932265,0.5166139414838795,-89.89641885223223,0.06872644716196512,-61.282945156956316,-68.87962644547935,0.6962115283552179,1,1,3,1,2,2,8,8,8,9,8,4,45
LGBMRegressor(),0.6923960492352998,102.94808830717555,0.07246832642338659,48.41571930157613,73.35433530682188,0.7129985549152515,0.46662171547029097,-87.3529183217628,0.05993540816583078,-55.72931032678885,-65.9766325379675,0.5941206035470207,12,12,8,7,9,12,9,7,7,7,7,13,50
"MLPRegressor(hidden_layer_sizes=(30, 8), max_iter=60, solver='lbfgs')",0.819075445206166,78.95344567273642,0.29577992639439543,43.078876304365906,60.09757042451665,0.8359258142163684,0.5430890997518268,-101.89249599070251,0.12143528861722484,-62.12711902375759,-76.9906997018158,0.7291406631498749,3,3,14,4,3,1,7,13,14,10,10,0,54
DecisionTreeRegressor(),0.3609298324625907,148.38725611647982,0.16482734912693106,50.0,94.11111111111111,0.42998550478603237,0.404410667813509,-104.40151781979476,0.07328979259782707,-48.1,-74.56648351648353,0.4985452410246129,14,14,13,8,14,14,10,14,9,3,9,14,59
"Lasso(alpha=0.1, max_iter=4000)",0.74594981485433,93.55824999163266,0.06034102969675997,53.215284242336224,73.73530621247266,0.7641597498945387,0.40043492045383366,-94.17611321038363,0.07462619736966336,-72.94500243769485,-77.25904307174554,0.6428491918650008,6,6,5,12,10,6,12,10,10,12,11,8,63
LinearRegression(),0.740957850828563,94.47296574083997,0.06047329635754409,44.416180019137755,74.13570694493332,0.7599363580381082,0.40382857060450916,-94.98979007798557,0.07589421699159292,-72.06419934472532,-77.53436976265684,0.6373060463097213,8,8,6,6,12,7,11,11,11,11,12,9,65
Ridge(),0.7217182169228868,97.91849292183139,0.07395573318861447,64.53136163561294,77.90842150126785,0.7409118594274431,0.38577791645472187,-93.57499587620879,0.08647796399128498,-74.90004811119118,-77.68464467644884,0.6535336604329575,10,10,9,14,13,10,13,9,12,13,13,7,67
"SVR(C=1.3, cache_size=4000, epsilon=0.09, gamma=4, kernel='poly')",0.7862945072649266,85.80847312388909,0.09915604464431522,50.5919037846636,67.36476943525969,0.8176134310712349,0.3420681435836853,-101.32887433950191,0.09970024453173906,-75.0362430222251,-79.69762606677679,0.6023320665738,4,4,12,10,7,4,14,12,13,14,14,12,79
