Index,HV,Al,Co,Cr,Cu,Fe,Ni
3,418,18.2,18.2,18.2,18.2,9.1,18.2
4,423,18.2,18.2,18.2,18.2,18.2,9.1
7,143,0,0,25,25,25,25
8,146,0,5,23.8,23.8,23.8,23.8
9,150,0,10,22.5,22.5,22.5,22.5
10,158,0,15,21.3,21.3,21.3,21.3
11,175,0,33.3,16.7,16.7,16.7,16.7
12,154,0,25,0,25,25,25
13,153,0,23.8,5,23.8,23.8,23.8
14,158,0,22.5,10,22.5,22.5,22.5
15,161,0,21.3,15,21.3,21.3,21.3
16,172,0,16.7,33.3,16.7,16.7,16.7
17,183,0,25,25,25,0,25
18,182,0,23.8,23.8,23.8,5,23.8
19,172,0,22.5,22.5,22.5,10,22.5
20,171,0,21.3,21.3,21.3,15,21.3
21,157,0,16.7,16.7,16.7,33.3,16.7
22,170,0,22.5,22.5,22.5,22.5,10
23,167,0,21.3,21.3,21.3,21.3,15
24,158,0,16.7,16.7,16.7,16.7,33.3
25,140,0,26.7,26.7,0,26.7,20
26,125,0,20,20,0,20,40
27,242,14.3,14.3,14.3,0,14.3,42.9
28,265,15.4,15.4,15.4,0,15.4,38.5
29,335,16.7,16.7,16.7,0,16.7,33.3
30,170,0,28.3,28.3,0,28.3,15
31,475,5,31.7,31.7,0,31.7,0
32,620,10,30,30,0,30,0
33,503,18.2,18.2,18.2,0,18.2,27.3
34,555,21.3,21.3,21.3,0,21.3,15
35,548,22.5,22.5,22.5,0,22.5,10
36,615,23.8,23.8,23.8,0,23.8,5
37,720,25,25,25,0,25,0
39,539,22.5,10,22.5,0,22.5,22.5
40,532,16.7,33.3,16.7,0,16.7,16.7
41,438,23.8,23.8,5,0,23.8,23.8
42,476,22.5,22.5,10,0,22.5,22.5
43,510,21.3,21.3,15,0,21.3,21.3
46,665,23.8,23.8,23.8,0,5,23.8
47,587,22.5,22.5,22.5,0,10,22.5
48,558,21.3,21.3,21.3,0,15,21.3
49,510,16.7,16.7,16.7,0,33.3,16.7
50,655,15,28.3,28.3,0,28.3,0
51,695,20,26.7,26.7,0,26.7,0
53,185,5.7,18.9,18.9,18.9,18.9,18.9
54,273,13.8,17.2,17.2,17.2,17.2,17.2
55,475,20.6,15.9,15.9,15.9,15.9,15.9
56,558,26.5,14.7,14.7,14.7,14.7,14.7
57,510,23.1,15.4,15.4,15.4,15.4,15.4
58,603,31.5,13.7,13.7,13.7,13.7,13.7
59,625,33.3,13.3,13.3,13.3,13.3,13.3
60,655,35.9,12.8,12.8,12.8,12.8,12.8
61,735,37.5,12.5,12.5,12.5,12.5,12.5
62,118,2.4,24.4,24.4,0,24.4,24.4
63,127,9.1,22.7,22.7,0,22.7,22.7
64,338,14.9,21.3,21.3,0,21.3,21.3
65,382,16.7,20.8,20.8,0,20.8,20.8
66,527,18.4,20.4,20.4,0,20.4,20.4
67,479,23.1,19.2,19.2,0,19.2,19.2
68,482,31,17.2,17.2,0,17.2,17.2
69,166,14.3,42.9,0,14.3,14.3,14.3
70,536,20,20,0,20,20,20
71,531,23.8,4.8,0,23.8,23.8,23.8
72,545,22.2,11.1,0,22.2,22.2,22.2
73,366,18.2,27.3,0,18.2,18.2,18.2
74,249,16.7,33.3,0,16.7,16.7,16.7
75,110,5.9,23.5,23.5,0,23.5,23.5
76,131,8.6,22.9,22.9,0,22.9,22.9
77,388,15.8,21.1,21.1,0,21.1,21.1
78,538,17.9,20.5,20.5,0,20.5,20.5
79,487,23.8,19,19,0,19,19
80,162,3.8,0,19.2,19.2,19.2,38.5
81,170,5.7,0,18.9,18.9,18.9,37.7
82,200,7.4,0,18.5,18.5,18.5,37
83,238,9.1,0,18.2,18.2,18.2,36.4
84,278,10.7,0,17.9,17.9,17.9,35.7
85,290,12.3,0,17.5,17.5,17.5,35.1
86,315,13.8,0,17.2,17.2,17.2,34.5
87,339,15.3,0,16.9,16.9,16.9,33.9
88,392,16.7,0,16.7,16.7,16.7,33.3
89,521,19.4,0,16.1,16.1,16.1,32.3
90,546,23.1,0,15.4,15.4,15.4,30.8
91,550,24.2,0,15.2,15.2,15.2,30.3
92,544,26.5,0,14.7,14.7,14.7,29.4
93,567,28.6,0,14.3,14.3,14.3,28.6
94,576,30.6,0,13.9,13.9,13.9,27.8
95,593,33.3,0,13.3,13.3,13.3,26.7
96,479,20,0,20,20,20,20
97,494,21.7,0,21.7,21.7,21.7,13
98,486,20.8,0,20.8,20.8,20.8,16.7
99,408,19.2,0,19.2,19.2,19.2,23.1
100,370,18.5,0,18.5,18.5,18.5,25.9
101,358,16.7,16.7,16.7,8.3,16.7,25
102,586,20,20,20,10,10,20
103,601,16.7,16.7,25,8.3,16.7,16.7
104,295,15.4,30.8,15.4,7.7,15.4,15.4
105,584,22.2,22.2,0,11.1,22.2,22.2
106,310,15.4,15.4,15.4,7.7,15.4,30.8
107,451,16.7,25,16.7,8.3,16.7,16.7
108,546,20,20,10,10,20,20
109,607,15.4,15.4,30.8,7.7,15.4,15.4
110,537,16.7,16.7,16.7,8.3,25,16.7
111,514,15.4,15.4,15.4,7.7,30.8,15.4
112,604,20,20,20,10,20,10
113,639,22.2,22.2,22.2,11.1,22.2,0
114,534,22.2,0,22.2,11.1,22.2,22.2
115,609,30.8,15.4,15.4,7.7,15.4,15.4
116,551,20,10,20,10,20,20
117,382,11.1,0,22.2,22.2,22.2,22.2
118,573,27.3,0,18.2,18.2,18.2,18.2
119,651,33.3,0,16.7,16.7,16.7,16.7
120,135,7.7,30.8,0,0,30.8,30.8
121,205,14.3,28.6,0,0,28.6,28.6
122,380,20,26.7,0,0,26.7,26.7
123,280,8,17,17,8,17,33
124,580,23,15,23,8,15,16
125,371,16.7,0,55.6,0,0,27.8
126,450,11.8,0,29.4,0,44.1,14.7
127,304,6.3,0,31.3,0,46.9,15.6
128,695,38.5,15.4,15.4,0,15.4,15.4
129,740,42.9,14.3,14.3,0,14.3,14.3
130,207,9.1,18.2,18.2,18.2,18.2,18.2
131,576,28.6,14.3,14.3,14.3,14.3,14.3
132,415,20,20,20,20,0,20
133,602,25,16.7,16.7,8.3,16.7,16.7
134,155,0,20,20,20,20,20
135,139,0,25,25,0,25,25
136,430,25,25,0,0,25,25
137,516,20,20,20,0,20,20
138,764,43,6,33,6,6,6
139,591,42.9,14.3,7.1,7.1,7.1,21.4
140,701,42.9,21.4,7.1,7.1,7.1,14.3
141,768,40,13.3,6.7,13.3,20,6.7
142,702,46.2,15.4,7.7,7.7,15.4,7.7
143,720,42.9,14.3,14.3,7.1,7.1,14.3
144,694,42.9,7.1,14.3,7.1,14.3,14.3
145,149,7,0,23.3,0,23.3,46.5
146,229,11.1,0,22.2,0,22.2,44.4
147,459,13,0,28,22,6,31
148,469,12,0,31,21,5,31
149,483,12,0,31,20,5,32
150,472,10,0,35,25,5,25
151,454,10,0,35,26,5,24
152,441,10,0,35,24,5,26
153,495,11,0,29,29,5,26
154,477,11,0,28,29,7,25
155,469,11,0,28,27,6,28
