,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=350, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.6531349120218071,3.6502360320795675,0.02896959104277783,1.0703250122070305,2.42284037894391,0.6842078058681307,0.7101040862903951,-2.7742035452631404,0.021162174448047247,-1.227617034912109,-1.8790792663339257,0.7185810631877196,3,3,3,0,1,5,0,0,0,2,1,0,3
<catboost.core.CatBoostRegressor object at 0x0000020A04BDDAF0>,0.6893095184419489,3.454654553159747,0.026402063958626234,1.195346671851448,2.3039871362200346,0.7108535520527597,0.7053729867714692,-2.7921948533486787,0.021628513979782077,-1.0997238857345064,-1.8323266961107811,0.7158094052221499,1,1,1,1,0,2,1,1,1,0,0,1,4
GradientBoostingRegressor(),0.7108312025268767,3.332854597741768,0.024310634619377536,1.6342613409895215,2.543024747404997,0.7350907648531826,0.6669152190734368,-2.9136406727559274,0.022859394947805017,-1.4813297336700377,-2.0442106857744733,0.6776768068229686,0,0,0,4,4,0,2,2,2,4,2,2,14
"RandomForestRegressor(max_depth=22, n_estimators=500)",0.6224631418978257,3.808205108555395,0.03236918989294613,2.078159999999958,2.738745187436672,0.6825099804207855,0.6644560102047146,-2.9634559866120065,0.023659690804153668,-1.4805446666666566,-2.15284956892684,0.6697804758597775,6,6,5,7,6,6,3,3,4,3,4,3,20
ExtraTreesRegressor(),0.6459701045981548,3.6877427769197033,0.029772494000876767,1.3046000000000006,2.5184617021276647,0.6886261414682442,0.6395847355071362,-3.1033939860644426,0.025907263035168646,-1.2157700000000022,-2.112651231884059,0.6543793304271153,4,4,4,2,3,4,5,4,5,1,3,4,22
BaggingRegressor(),0.5694125739341643,4.066973329618697,0.037604219301837674,1.8139999999999983,3.008446808510638,0.6373581551229017,0.646097454521563,-3.138243857346383,0.023386413500349968,-1.616633333333334,-2.273264190821256,0.6405779806637042,7,7,9,5,7,7,4,5,3,5,5,5,27
LGBMRegressor(),0.532365062103943,4.238323751826802,0.03751653380250575,2.5131530262513913,3.091721231694876,0.5759074058678183,0.5794793627933748,-3.3185788507711282,0.027145657063582587,-1.702516905796535,-2.4045125195664583,0.5895429879124003,9,9,8,9,8,9,6,6,6,6,6,6,36
"SVR(C=0.4, cache_size=4000, epsilon=0.01, gamma=2, kernel='poly')",0.6840642035872616,3.483694560332716,0.0273800292819348,1.9771565629105492,2.498328345809376,0.7133366296686332,0.5401916459269429,-3.4666189087890205,0.031169250513113474,-1.7320683893195503,-2.49008051968213,0.5508509888533831,2,2,2,6,2,1,7,7,7,7,7,7,42
AdaBoostRegressor(),0.5610266744438472,4.106385503672393,0.0362777950117982,2.763513513513516,3.160682324962694,0.5833113653060673,0.5075525262878295,-3.669441067868745,0.03322939276655108,-2.565983378033633,-2.886401555579549,0.5258215910910632,8,8,7,11,9,8,8,8,8,11,10,8,53
DecisionTreeRegressor(),0.6445609612546372,3.69507464007761,0.033517147948631906,1.5999999999999996,2.61,0.7092866388065806,0.4185618199673574,-3.940416237761132,0.037504015396382644,-1.8549999999999998,-2.7421340579710147,0.40094597462448284,5,5,6,3,5,3,9,10,9,8,8,11,55
"MLPRegressor(activation='tanh', alpha=0.1, hidden_layer_sizes=(40, 9),
             max_iter=60, solver='lbfgs')",0.5255256234700538,4.269205247373149,0.04382178585804929,2.7486396560504947,3.4061144624181368,0.5691616889814615,0.40488578497426253,-3.8139289388638002,0.04176549046101416,-1.960033632546925,-2.8284402123685153,0.4997642976945843,10,10,10,10,11,10,10,9,11,9,9,9,57
"KNeighborsRegressor(n_neighbors=10, p=1, weights='distance')",0.4710942925207734,4.507438184135749,0.046044494317218236,2.158501022598312,3.3101541010965674,0.48911827923971274,0.38719138927131885,-4.027700605116102,0.04137563565606221,-2.343252435272903,-3.0917755532680777,0.4014211160742825,11,11,11,8,10,11,11,11,10,10,11,10,63
Ridge(),0.25641800292747563,5.3444754430144386,0.05704274380765338,3.642860173851261,4.136420291998677,0.26093545851012456,0.19902093945851732,-4.6439479926571705,0.05315185150942889,-3.1305724801566903,-3.6954919156961337,0.21205139740943119,12,12,12,13,12,12,12,12,12,13,12,12,73
LinearRegression(),0.24567068857474117,5.382959898990902,0.05750070083967031,3.1606551595354766,4.144788028720736,0.24809163882361995,0.1686431899276601,-4.718117346729186,0.05462488876899368,-3.0203823839850643,-3.7569719052491366,0.18432868762429155,13,13,13,12,13,13,13,13,13,12,13,13,77
Lasso(),-0.015639143599270655,6.2461206378579766,0.07606244588053174,4.035081081081078,4.740955721679126,5.551115123125783e-16,-0.008564935696168762,-5.261987301823179,0.06580583595745593,-3.856076555023923,-4.300909231429325,-9.992007221626409e-17,14,14,14,14,14,14,14,14,14,14,14,14,84
